Usage_ID,Account_ID,Timestamp,Service,SKU,Usage_Value,Unit,Cost,Currency,FX_Rate,Region,Resource_ID,Tag_Owner,Tag_Env,Charge_Type,Purchase_Type,Department,Project,CPU_Util,Memory_Util,Incident_ID,Ticket_ID,Price_Version,SLA_Event,Log_Skew_Seconds
U08402,AWS-ACCT-002,2026-02-21T11:29:00+05:30,DATABASE,RDS-db.m5.large,6232.52,min,538.60,INR,0.012,ap-south-1,aws-ec2-050,platform,production,Billable,on-demand,LEGAL,NOVA,84.1,40.5,,,v2,False,59.2
U09690,AWS-ACCT-017,2026-03-27T11:30:00Z,database,RDS-db_m5_large,40395.8,seconds,539.44,Pound,1.27,EU-WEST-1,aws-ec2-054,PLATFORM,development,credit,reserved,Operations,Alpha,0.6,7.3,INC-095,,v3,yes,102.0
U07103,AWS-ACCT-008,2026-03-14 03:45:00,compute,EC2-t3.large,40716.38,hr,494.47,inr,0.012,ap southeast 1,aws-ec2-081,DevOps,production,billable,OnDemand,Finance,delta,96.2,54.2,,,v3,YES,116.1
U08438,GCP-ACCT-041,2026-01-23T23:36:00+00:00,Storage,GCS-Standard,3677.29,mb,68.80,eur,1.08,US-WEST1,gcp-inst-273,data,development,Credit,RESERVED,Finance,Delta,,,,,v1,FALSE,-18.6
U01387,GCP-ACCT-050,garbage_ts,Database,CloudSQL-db.standard-2,34344.28,minutes,"3,715.25",INR,0.012,asia-south1,gcp-inst-280,FE,development,Free Tier,RI,SECURITY,NOVA,52.8,7.0,,,v2,YES,17.1
U08513,AZ-ACCT-025,2026/01/13 14:26,storage,Blob-Cool,3276.93,Gb,273.81,Euro,1.08,westeurope,az-vm-143,frontend,staging,Free Tier,OnDemand,Finance,delta,,,INC-079,,ver-1,False,-8.1
U08249,AZ-ACCT-023,2026-01-08T05:57:00+01:00,Compute,vm-standard_d8s,13512.59,seconds,90.35,pound,1.27,centralindia,az-vm-193,security,production,Free Tier,spot,operations,gamma,56.6,1.6,,T-045,v1,False,-88.6
U02001,AWS-ACCT-004,2026/02/26 09:35,COMPUTE,ec2-t3.xlarge,22581.19,mins,895.33,dollar,1.0,AP-SOUTHEAST-1,aws-ec2-004,devops,development,Billable,OnDemand,Hr,gamma,7.8,2.1,,T-014,v2,0,-25.1
U07537,GCP-ACCT-042,13-02-2026 03:55:00,COMPUTE,GCE-N1-STANDARD-8,41690.8,second,"€1,500.56",EUR,1.08,us-central1,aws-ec2-059,devops,prd,Credit,OnDemand,hr,Delta,8.0,36.6,,T-004,v2,0,-90.2
U03281,GCP-ACCT-036,2026-03-27T02:57:00Z,Storage,GCS-Standard,2639.71,gb,181.78,INR,0.012,asia-southeast1,aws-ec2-234,frontend,staging,billable,Reserved,Engineering,alpha,,,,,v3,No,-84.7
U08535,az-acct-026,2026/02/13 20:05,STORAGE,Blob-Hot,18.2,megabytes,1.05,USD,1.0,southeastasia,az-vm-174,Platform,production,true,OnDemand,PRODUCT,EPSILON,,,,,v2,FALSE,-96.5
U05701,AZ-ACCT-032,2026-01-10 04:23:00,DATABASE,sqldb-s2,12565.45,hour,523.22,inr,0.012,southeastasia,az-vm-154,frontend,dev,Refund,Reserved,PRODUCT,epsilon,93.5,99.6,,,v1,No,13.4
U02281,GCP-ACCT-036,2026-03-30T20:34:00Z,Storage,GCS-Nearline,3070.55,Gb,188.35,Indian Rupee,0.012,us-west1,gcp-inst-279,security,development,CREDIT,spot,engineering,Beta,,,,,v3,0,48.0
U05192,AWS-ACCT-019,2026-0212 10:22,Storage,S3-Standard,1960.75,gigabytes,149.70,pound,1.27,ap southeast 1,aws-ec2-042,data,DEV,CREDIT,On Demand,engineering,BETA,,,,,v2,FALSE,36.4
U03631,AZ-ACCT-031,11-01-2026 12:10:00,COMPUTE,VM-Standard_D8s,44301.31,minutes,3486.05,gbp,1.27,southeastasia,az-vm-176,back-end,staging,refund,OnDemand,FINANCE,DELTA,3.2,31.3,,,v1,false,-13.7
U07649,GCP-ACCT-036,2026-02-18T13:03:00+01:00,database,cloudsql-db.standard-2,15073.03,hours,1189.15,inr,0.012,asia-south1,gcp-inst-287,Data,prod,True,RI,legal,Nova,22.9,46.4,,,v2,false,21.8
U04056,GCP-ACCT-050,2026-01-23T23:46:00+00:00,compute,GCE-n1-standard-4,48526.12,hrs,4000.37,Inr,0.012,us-west1,gcp-inst-249,security,staging,billable,On Demand,Operations,alpha,60.9,50.8,,,v1,False,-75.4
U05366,AWS-ACCT-019,04-02-2026 21:38:00,compute,EC2-t3.medium,1327367.62,hour,1126.79,Pound,1.27,ap-south-1,aws-ec2-105,platform,staging,Billable,on_demand,Data_Science,ALPHA,80.3,51.6,,,v2,FALSE,119.7
U05008,AWS-ACCT-009,2026-03-04T03:23:00-05:00,Compute,EC2-t3.large,28266.49,second,1808.00,Pound,1.27,US-EAST-1,aws-ec2-068,devops,DEV,credit,reserved,Finance,Epsilon,35.7,3.0,,,v3,FALSE,96.0
U03424,GCP-ACCT-048,2026-02-26 04:30:00,STORAGE,GCS-Standard,3920.82,MB,165.81,Inr,0.012,asia-south1,gcp-inst-233,devops,production,BILLABLE,RI,marketing,GAMMA,,,,,v2,yes,-81.5
U02607,GCP--ACCT-043,2026-03-26T05:59:00Z,Storage,GCS-Nearline,4524.47,mb,290.32,USD,1.0,us-central1,gcp-inst-277,backend,STG,true,ON-DEMAND,operations,ALPHA,,,,,version3,no,-68.0
U09504,GCP-ACCT-044,2026-03-11T06:33:00Z,COMPUTE,GCE-n1-standard-8,7722.48,hour,514.93,inr,0.012,us central1,gcp-inst-278,backend,development,CREDIT,SPOT,Hr,DELTA,71.5,43.8,INC-083,T-110,v3,NO,83.1
U01214,GCP-ACCT-037,03-01-2026 15:42:00,storage,GCS-Standard,4524.57,Gb,262.73,Pound,1.27,us-west1,gcp-inst-280,frontend,PROD,credit,on_demand,MARKETING,omega,,,INC-002,T-194,v1,No,-50.2
U03033,GCP-ACCT-046,2026-01-25T20:27:00-05:00,database,CloudSQL-db.standard-2,15930.24,hour,140.71,Us Dollar,1.0,us-west1,gcp-inst-213,frontend,development,BILLABLE,Spot,data_science,NOVA,12.2,61.0,,,v1,NO,105.3
U07277,AWS-ACCT-016,2026/01/29 04:51,compute,EC2-t3.medium,34545.66,mins,"$1,828.58",USD,1.0,ap-south-1,aws-ec2-999,backend,development,true,Reserved,engineering,Beta,4.3,2.6,,,v1,No,19.9
U06121,GCP-ACCT-046,02-02-2026 08:25:00,STORAGE,GCS-Nearline,2959.06,gb,217.43,dollar,1.0,us central1,gcp-inst-222,frontend,development,TRUE,RESERVED,FINANCE,Epsilon,,,,,v2,false,104.5
U05234,AZ-ACCT-033,2026-01-05T17:40:00+00:00,Compute,VM-STANDARD_D8S,799896.22,mins,"€1,601.48",euro,1.08,CANADACENTRAL,az-vm-121,platform,development,TRUE,spot,PRODUCT,UNKNOWN_PROJECT,4.2,8.9,INC-009,,v1,No,-119.0
U07206,AZ-ACCT-026,2026-02-25T22:10:00Z,COMPUTE,VM-Standard_D8s,49252.88,minutes,-4153.3,Us Dollar,1.0,southeastasia,az-vm-165,platform,Dev,BILLABLE,On Demand,Finance,Epsilon,22.9,57.6,,,v1,True,-73.2
U09173,AWS_ACCT_018,2026-01-15T05:13:00Z,storage,S3-Standard,93.9,Gb,5.60,usd,1.0,US-WEST-2,aws-ec2-048,data,development,CREDIT,RESERVED,Legal,EPSILON,,,INC-008,,v1,FALSE,-80.0
U02988,AZ-ACCT-030,2026-01-13T13:55:00-05:00,STORAGE,Blob-Cool,4479.8,gigabytes,342.78,Inr,0.012,canadacentral,az-vm-145,data,development,Free Tier,RESERVED,SECURITY,Beta,,,,,v1,TRUE,-96.6
U03736,  AWS-ACCT-004 ,2026-03-08T16:51:00+05:30,Storage,S3-IA,590.42,megabytes,$38.90,Us Dollar,1.0,us-east-1,aws-ec2-011,backend,DEV,Credit,reserved,Product,Epsilon,,,,T-035,v3,false,-115.6
U01490,GCP-ACCT-046,2026-01-29T16:36:00Z,storage,GCS-Standard,4999.89,megabytes,436.62,Us Dollar,1.0,EUROPE-WEST1,gcp-inst-999,devops,development,billable,ON-DEMAND,Legal,Epsilon,,,,,v1,1,-57.9
U00366,GCP-ACCT-040,25-01-2026 14:02:00,database,CloudSQL-db.standard-2,16063.96,min,1337.34,Indian Rupee,0.012,EUROPE-WEST1,gcp-inst-213,Data,production,BILLABLE,Spot,UNKNOWN_DEPT,BETA,50.9,82.5,,,v1,No,-76.0
U07783,GCP-ACCT-040,2026-02-10T09:57:00+01:00,compute,GCE-n1-standard-8,37247.61,second,"₹2,944.34",INR,0.012,asia-south1,gcp-inst-217,devops,staging,True,spot,hr,DELTA,60.5,74.1,,,v2,0,-5.4
U09029,AWS-ACCT-013,2026-03-06T01:40:00+05:30,STORAGE,S3-IA,2164.87,MB,174.23,usd,1.0,us west 2,aws-ec2-061,data,prod,billable,reserved,engineering,Beta,,,,,v3,Yes,-50.3
U01116,AWS-ACCT-006,2026-01-29T04:07:00+00:00,Compute,EC2-t3.large,36491.46,sec,1691.76,usd,1.0,ap-south-1,aws-ec2-107,devops,STG,REFUND,OnDemand,LEGAL,Nova,86.6,94.3,,T-086,v2,False,-72.6
U01086,AZ-ACCT-033,2026-01-07T18:27:00+00:00,storage,Blob-Hot,1275.62,megabytes,16.16,euro,1.08,EASTUS,az-vm-187,data,staging,true,On Demand,Engineering,Alpha,,,,,v1,NO,6.5
U09037,GCP-ACCT-040,2026/02/01 01:23,Storage,GCS-Nearline,196.28,mb,5.11,inr,0.012,us-west1,gcp-inst-266,backend,development,Refund,Spot,Product,omega,,,,,v2,NO,29.9
U08077,GCP-ACCT-047,2026-01-31 07:02:00,STORAGE,GCS-Standard,4609.69,Gb,329.01,Euro,1.08,us-central1,gcp-inst-210,frontend,production,credit,RESERVED,finance,DELTA,,,,,v1,false,86.3
U04630,ACCT-045,2026-02-10T10:33:00Z,Database,cloudsql-db.standard-2,48661.63,hours,"₹2,354.87",inr,0.012,asia-south1,gcp-inst-211,Data,production,Refund,on_demand,PRODUCT,PHOENIX,74.2,13.9,,,v2,FALSE,-92.4
U02728,AWS-ACCT-020,2026/03/04 19:54,compute,EC2-t3.medium,18263.03,min,639.83,euro,1.08,eu-west-1,aws-ec2-075,data,PROD,BILLABLE,on-demand,OPERATIONS,delta,7.3,5.6,,,v3,no,78.6
U03998,GCP-ACCT-040,2026-03-15T05:41:00Z,Compute,gce-n1-standard-8,20283.61,minutes,979.04,Indian Rupee,0.012,asia-southeast1,gcp-inst-240,devops,development,free,on_demand,PRODUCT,epsilon,54.3,59.7,,T-008,v3,0,-71.8
U00913,AZ-ACCT-025,2026-02-27T20:23:00-05:00,COMPUTE,VM_Standard_D8s,1231.73,sec,109.39,EUR,1.08,westeurope,az-vm-133,data,development,true,Spot,DATA_SCIENCE,ALPHA,6.5,6.0,INC-083,,ver-2,false,-73.5
U05455,AWS-ACCT-016,2026-03-18T04:22:00Z,storage,S3-IA,2139.31,MB,45.36,Us Dollar,1.0,eu-west-1,aws-ec2-054,BACKEND,STG,Refund,Spot,DATA_SCIENCE,nova,,,,,v3,FALSE,49.8
U06102,AWS-ACCT-012,2026-03-16T02:15:00-05:00,COMPUTE,EC2-t3.medium,27112.17,hr,2467.80,Indian Rupee,0.012,ap-south-1,aws-ec2-070,security,development,true,Reserved,operations,Gamma,76.0,20.4,,,v3,no,-32.3
U01757,AZ-ACCT-026,2026-0101 01:04,STORAGE,Blob-Hot,670.95,gb,16.16,Us Dollar,1.0,westeurope,az-vm-122,security,production,true,Spot,ENGINEERING,phoenix,,,,,v1,no,-61.2
U00847,AWS-ACCT-005,2026-0221 15:28,database,RDS-db.m5.large,34392.36,hours,2160.62,dollar,1.0,ap-southeast-1,aws-ec2-075,DevOps,prd,Credit,on-demand,Data_Science,NOVA,91.4,33.2,,,v3,YES,-56.1
U00109,GCP-ACCT-050,2026-0121 04:21,compute,GCE-n1-standard-2,8100.96,hrs,661.90,Inr,0.012,us central1,gcp-inst-255,FRONTEND,production,credit,on_demand,marketing,gamma,3.0,85.4,,,v1,TRUE,-95.2
U00520,GCP-ACCT-037,2026-03-24T21:01:00Z,Database,CloudSQL-db.standard-2,48977.99,seconds,210.99,Pound,1.27,asia-south1,gcp-inst-217,data,development,True,RI,Data_Science,NOVA,88.2,81.1,,T-174,v3,YES,-62.6
U08500,GCP-ACCT-042,2026-03-01T10:08:00Z,Database,CloudSQL_db.standard_2,37482.49,hrs,1680.60,EUR,1.08,US-CENTRAL1,gcp-inst-225,dev-ops,production,True,OnDemand,Devops,GAMMA,13.1,41.1,,,v1,no,22.2
U00382,AWS-ACCT-020,2026-02-27T12:44:00Z,Storage,S3_IA,4898.67,mb,473.40,EUR,,us-west-2,aws-ec2-039,platform,staging,Billable,on-demand,Operations,Gamma,,,,,v2,false,-101.3
U04271,AZ-ACCT-025,2026-0105 16:44,Database,SQLDb-S2,39288.67,hr,"€2,662.50",EUR,1.08,centralindia,az-vm-154,DEVOPS,development,CREDIT,on-demand,engineering,Beta,69.8,8.0,INC-013,,v1,no,92.8
U07079,AWS-ACCT-009,2026-03-12 04:49:00,STORAGE,UNKNOWN-SKU-779,440.83,gigabytes,32.39,GBP,1.27,eu-west-1,aws-ec2-032,devops,staging,Billable,RI,product,omega,,,INC-093,,v3,1,-57.6
U04272,AWS-ACCT-010,2026-02-20 20:47:00,COMPUTE,EC2_t3.large,12599.41,hours,522.81,Indian Rupee,0.012,US-WEST-2,aws-ec2-033,backend,development,Refund,RESERVED,PRODUCT,Omega,6.7,52.2,,T-023,v2,NO,-41.5
U06263,GCP-ACCT-039,2026-02-21 04:23:00,Compute,GCE-n1-standard-4,22678.47,hour,1289.10,GBP,1.27,us-west1,gcp-inst-225,security,production,true,RI,UNKNOWN_DEPT,ALPHA,9.4,6.0,INC-015,,v2,NO,-23.5
U06209,AWS-ACCT-004,2026-03-16T10:29:00Z,Compute,EC2-t3.xlarge,23919.38,secs,1107.43,usd,1.0,us-east-1,az-vm-033,Frontend,staging,REFUND,SPOT,PRODUCT,OMEGA,35.2,67.0,,T-016,v3,false,-52.9
U05447,  AZ-ACCT-023 ,2026/01/01 12:33,database,SQLDb-S2,24559.89,mins,£93.97,pound,1.27,southeastasia,az-vm-203,security,Prod,BILLABLE,reserved,MARKETING,OMEGA,76.7,34.3,,T-007,v1,no,-44.1
U01237,AWS-ACCT-019,22-03-2026 06:43:00,database,RDS-db.m5.large,37578.64,secs,2947.70,pound,1.27,ap-south-1,aws-ec2-054,security,staging,TRUE,OnDemand,Legal,Epsilon,21.7,89.8,,T-177,v1,No,36.4
U07560,GCP-ACCT-037,2026-01-02T21:19:00+01:00,DATABASE,CloudSQL-db.standard-2,25680.99,min,1767.32,pound,1.27,asia-south1,gcp-inst-226,devops,Prod,True,OnDemand,Devops,beta,6.2,28.0,,,v1,0,-23.6
U08412,AWS-ACCT-002,2026-03-18 19:41:00,Compute,EC2-t3.xlarge,18277.12,min,251.98,Inr,,unknown-region-3,aws-ec2-046,platform,STG,true,On Demand,engineering,ALPHA,61.8,28.6,INC-074,T-138,v3,False,18.6
U05615,AWS-ACCT-005,24-01-2026 02:01:00,Storage,S3-IA,1653.23,megabytes,147.43,usd,1.0,apso,aws-ec2-087,frontend,production,free_tier,RI,PRODUCT,ALPHA,,,,,v1,no,-63.8
U05267,AWS-ACCT-018,2026-03-04 01:19:00,COMPUTE,EC2-t3.large,11511.29,sec,427.62,dollar,1.0,ap-southeast-1,aws-ec2-070,data,production,True,RI,Marketing,Gamma,49.0,31.5,,,v1,False,49.6
U00154,GCP-ACCT-049,2026/01/07 14:37,Compute,GCE-n1-standard-2,24334.12,mins,1150.24,USD,1.0,us-west1,gcp-inst-241,devops,stg,billable,ON-DEMAND,Security,BETA,58.6,54.4,,,v1,NO,24.9
U02209,AWS-ACCT-003,2026-01-07T14:06:00+05:30,DATABASE,RDS-db.m5.large,14099.67,minutes,474.20,euro,1.08,US-WEST-2,aws-ec2-027,platform,STG,Billable,RESERVED,HR,UNKNOWN_PROJECT,20.9,47.0,INC-047,T-139,v1,1,-47.6
U07845,GCP-ACCT-044,2026-0115 17:39,DATABASE,CloudSQL-db.standard-2,10120.96,hour,₹768.18,Indian Rupee,0.012,us-west1,gcp-inst-268,data-team,prd,true,ON-DEMAND,operations,GAMMA,29.6,64.6,,T-195,v1,FALSE,103.0
U03140,AZ-ACCT-032,2026-01-03T08:40:00Z,Storage,Blob-Cool,3110.28,gigabytes,197.31,Indian Rupee,0.012,westeurope,az-vm-165,PLATFORM,staging,true,on-demand,LEGAL,epsilon,,,,T-055,ver-1,0,-116.1
U08965,az-acct-021,07-02-2026 17:38:00,Compute,VM-Standard_D4s,23562.89,second,"₹2,316.28",Inr,0.012,westeurope,az-vm-135,devops,development,refund,reserved,Marketing,OMEGA,52.2,58.9,,T-068,v3,False,45.2
U06234,AZ-ACCT-035,2026-03-25T19:50:00+05:30,DATABASE,SQLDb-S2,46750.2,mins,€735.38,euro,,southeastasia,az-vm-127,devops,production,TRUE,OnDemand,operations,gamma,7.1,98.7,,T-091,v3,TRUE,-113.3
U00194,AZ-ACCT-030,2026-01-24 12:38:00,compute,VM-Standard_D8s,24941.93,mins,2394.46,INR,0.012,CANADACENTRAL,az-vm-141,data,Prod,REFUND,spot,legal,epsilon,38.1,9.9,INC-083,,v2,yes,55.4
U08165,GCP-ACCT-042,2026-02-16T11:21:00Z,Storage,GCS-Nearline,3658.7,gigabytes,0,Euro,,asia south1,gcp-inst-287,devops,stage,billable,On Demand,data_science,phoenix,,,,,v2,1,
U06130,AWS-ACCT-007,12-02-2026 07:56:00,COMPUTE,EC2-t3.xlarge,37617.77,mins,1922.81,Indian Rupee,0.012,us-east-1,aws-ec2-016,platform,Staging,True,ON-DEMAND,Marketing,Gamma,75.1,36.9,,T-034,v2,FALSE,66.7
U04371,AWS-ACCT-017,2026-01-19T05:05:00-05:00,Database,RDS-db.m5.large,16759.48,hour,602.39,GBP,1.27,us-east-1,aws-ec2-038,BE,production,free_tier,On Demand,operations,delta,94.4,32.7,,T-082,v1,False,-115.2
U07413,GCP-ACCT-039,08-02-2026 04:20:00,compute,GCE-n1-standard-4,7527.82,min,723.78,Pound,1.27,asia-southeast1,az-vm-183,platform,production,Credit,spot,data_science,Nova,42.6,70.5,,,v2,No,-93.8
U00461,AWS-ACCT-012,17-01-2026 14:31:00,Compute,EC2-t3.xlarge,32251.4,secs,"2,481.53",INR,,ap-southeast-1,aws-ec2-050,platform,staging,Billable,reserved,marketing,Gamma,53.1,70.6,INC-060,T-163,v1,0,37.2
U02206,AWS-ACCT-019,2026/02/09 05:16,Compute,EC2-t3.large,44612.13,hrs,2804.93,gbp,1.27,us-east-1,aws-ec2-088,security,develop,true,On Demand,DATA_SCIENCE,Alpha,86.4,41.7,,,v2,yes,-30.1
U00243,AWS-ACCT-010,2026/02/10 08:51,Compute,EC2-t3.medium,10552.8,seconds,66.60,Inr,0.012,ap-southeast-1,aws-ec2-081,DEVOPS,production,CREDIT,Reserved,Marketing,omega,15.2,11.0,,T-189,v2,no,-57.9
U00665,AWS--ACCT-013,2026-03-19T13:28:00-05:00,COMPUTE,EC2_t3.large,9165.46,sec,716.45,dollar,1.0,us-east-1,aws-ec2-081,security,stage,true,reserved,OPERATIONS,GAMMA,45.0,2.8,,,v3,no,-117.6
U02214,aws-acct-005,2026-0301 19:54,STORAGE,S3-Standard,2435.46,gb,13.80,usd,1.0,ap-south-1,aws-ec2-089,BACKEND,production,free,RI,Devops,beta,,,,,v3,False,112.1
U09424,GCP-ACCT-042,2026/02/01 07:15,Database,UNKNOWN-SKU-355,12201.04,hrs,356.19,EUR,1.08,asia-south1,gcp-inst-280,frontend,develop,Free Tier,reserved,Finance,DELTA,58.4,30.7,,T-054,V2,False,101.3
U06302,AWS_ACCT_008,2026/03/19 06:02,database,RDS-db_m5_large,49871.14,hour,2817.15,INR,0.012,us-east-1,aws-ec2-056,frontend,production,Credit,Spot,hr,Delta,4.1,84.2,,T-062,v3,FALSE,103.3
U09436,AZ-ACCT-022,2026/01/24 10:18,DATABASE,SQLDb-S2,26984.29,hr,"$2,647.34",dollar,1.0,canadacentral,az-vm-199,backend,staging,Billable,ON-DEMAND,Legal,Epsilon,39.2,78.7,,,v1,no,
U01215,AZ-ACCT-034,2026-0306 17:53,DATABASE,SQLDb-S2,41866.79,secs,89.58,eur,1.08,southeastasia,az-vm-182,data,production,TRUE,On Demand,FINANCE,epsilon,28.7,0.7,,T-057,v3,false,-100.6
U04235,AZ-ACCT-025,2026/02/16 01:39,Compute,VM-Standard_D8s,39567.58,hour,2866.36,eur,1.08,westeurope,az-vm-152,platform,staging,TRUE,RESERVED,operations,Alpha,28.6,81.9,,,,No,115.5
U04043,GCP-ACCT-050,2026/02/07 17:11,database,CloudSQL_db.standard_2,42217.43,hr,"₹2,948.26",INR,0.012,us-central1,gcp-inst-287,plat,production,True,RI,LEGAL,Nova,27.8,19.8,,,v2,False,-56.3
U00816,AZ-ACCT-025,2026-03-08 21:52:00,Storage,Blob_Hot,86531.72,mb,73.64,Euro,1.08,southEast asia,az-vm-162,DEVOPS,production,Billable,SPOT,OPERATIONS,GAMMA,,,INC-054,,v3,no,-4.9
U07154,AWS-ACCT-020,2026-03-15T18:45:00-05:00,database,RDS-db.m5.large,34984.13,sec,829.19,eur,1.08,us-west-2,aws-ec2-079,backend,stg,billable,OnDemand,Data_Science,Phoenix,21.9,19.4,,,,false,-25.6
U03807,ACCT-046,2026-01-25T19:06:00+00:00,STORAGE,GCS-Standard,765.63,mb,72.13,dollar,1.0,asia-south1,gcp-inst-209,devops,development,TRUE,RI,LEGAL,UNKNOWN_PROJECT,,,,,version1,Yes,101.5
U03228,AWS-ACCT-018,2026-01-14T12:15:00+00:00,storage,S3-IA,3611.51,gigabytes,$338.98,Us Dollar,1.0,AP-SOUTH-1,aws-ec2-043,backend,prd,free_tier,Reserved,marketing,gamma,,,INC-044,T-173,v1,No,-61.9
U02601,AWS-ACCT-001,2026-03-26T07:22:00Z,storage,S3_IA,3650.14,gigabytes,360.14,Indian Rupee,0.012,us-east-1,aws-ec2-113,data,production,credit,OnDemand,Marketing,GAMMA,,,INC-091,T-121,v3,FALSE,-65.2
U04044,AWS-ACCT-019,2026/03/05 13:13,DATABASE,RDS-db.m5.large,49413.62,hrs,4730.79,GBP,1.27,eu-west-1,az-vm-234,Data,production,True,SPOT,Data_Science,ALPHA,80.3,91.9,,,v3,False,-72.4
U02022,GCP-ACCT-038,05-03-2026 23:50:00,storage,GCS-STANDARD,1299.79,GB,71.81,Inr,84.0,asia-south1,gcp-inst-277,data,development,True,OnDemand,Hr,Delta,,,,,v3,1,37.7
U02280,  GCP-ACCT-046 ,2026-0311 05:25,Storage,GCS-Standard,94.29,GB,6.16,usd,1.0,us-central1,gcp-inst-236,devops,development,free,on_demand,Operations,Gamma,,,INC-006,T-140,v3,FALSE,95.3
U08267,AWS-ACCT-010,NULL,Compute,EC2-t3.xlarge,35299.15,seconds,1853.23,Inr,0.012,us-west-2,aws-ec2-026,security,STG,REFUND,SPOT,SECURITY,BETA,40.4,44.7,,,V2,no,35.6
U06728,AZ-ACCT-024,2026-03-26T07:32:00+00:00,database,SQLDb-S2,40997.1,hour,174.66,eur,1.08,southeastasia,az-vm-143,backend,production,Billable,Reserved,ENGINEERING,UNKNOWN_PROJECT,12.3,23.4,,T-177,v3,yes,18.9
U09977,GCP-ACCT-044,2026-03-01T12:22:00Z,STORAGE,GCS-Nearline,3403.2,megabytes,₹131.96,Indian Rupee,0.012,europe-west1,gcp-inst-220,frontend,staging,REFUND,ON-DEMAND,legal,EPSILON,,,INC-023,,v3,yes,-62.4
U01219,GCP-ACCT-039,14-01-2026 11:17:00,Database,CloudSQL-db.standard-2,40112.52,minutes,£870.10,pound,1.27,asia-southeast1,gcp-inst-212,security,staging,FREE_TIER,on_demand,Engineering,beta,98.5,86.1,,,v1,No,-117.1
U01646,GCP-ACCT-044,2026-02-19T17:08:00Z,database,CloudSQL-db.standard-2,34557.14,mins,2618.99,inr,0.012,us-central1,gcp-inst-251,sec-team,development,true,on_demand,devops,alpha,8.7,5.2,,T-169,v2,yes,-73.3
