Incident_ID,Account_ID,Incident_Start,Incident_End,Affected_Service,Affected_Region,Severity,Root_Cause,SLA_Breach
INC-062,GCP-ACCT-039,27-01-2026 12:58:00,2026-01-28T04:58:00Z,Storage,asia-south1,SEV3,Kernel panic on hypervisor host,NO
INC-063,GCP-ACCT-047,2026-03-02T10:58:00Z,2026-03-03T00:58:00+00:00,Compute,asia-south1,SEV3,Deployment rollback failure,FALSE
INC-064,AWS-ACCT-010,2026-01-26T10:14:00+01:00,2026/01/27 11:14,Storage,us-west-2,SEV3,Kernel panic on hypervisor host,No
INC-065,AZ-ACCT-023,2026-0122 04:46,2026/01/23 15:46,Compute,southEast asia,SEV1,Network partition in availability zone,0
INC-066,AWS-ACCT-009,2026-03-22T07:04:00-05:00,2026/03/24 05:04,Database,ap-southeast-1,SEV3,Kernel panic on hypervisor host,no
INC-067,GCP-ACCT-036,2026-02-22T00:01:00Z,2026-02-23T10:01:00Z,Database,us-west1,SEV1,Disk I/O saturation on storage cluster,yes
INC-068,AWS-ACCT-010,2026-01-31T06:39:00Z,2026-02-01T16:39:00-05:00,Storage,AP-SOUTHEAST-1,SEV3,DNS resolution failure,NO
INC-069,AWS-ACCT-006,,2026/03/25 23:48,Compute,us-east-1,SEV1,Kernel panic on hypervisor host,Yes
INC-070,AZ-ACCT-022,2026-03-14T03:57:00+01:00,2099-12-31T23:59:59Z,Compute,centralindia,SEV3,Network partition in availability zone,NO
INC-071,AZ-ACCT-021,03-01-2026 06:37:00,2026-01-03T16:37:00+00:00,Database,westeurope,SEV2,BGP route leak from upstream provider,NO
INC-072,GCP-ACCT-048,2026-0118 22:46,,Storage,europe-west1,SEV2,Deployment rollback failure,no
INC-073,AZ-ACCT-026,2026-02-11T00:40:00Z,2026/02/11 18:40,Storage,CANADACENTRAL,SEV3,Database connection pool exhaustion,no
INC-074,AWS-ACCT-019,2026-02-01T22:04:00Z,2026-02-02T04:04:00-05:00,Storage,ap south 1,SEV1,Certificate expiry on load balancer,NO
INC-075,AWS-ACCT-018,2026/01/14 04:05,2026-01-14T16:05:00+05:30,Storage,ap southeast 1,SEV3,Auto-scaling misconfiguration,true
INC-076,AWS-ACCT-019,2026/02/22 12:49,2026-02-22T18:49:00+01:00,Compute,US-WEST-2,SEV2,Certificate expiry on load balancer,False
INC-077,AWS-ACCT-005,22-01-2026 13:17:00,2026-0123 16:17,Database,us-west-2,SEV1,Kernel panic on hypervisor host,FALSE
INC-078,AWS-ACCT-001,2026-02-20 10:53:00,2026-02-22T02:53:00Z,Database,ap southeast 1,SEV2,Deployment rollback failure,True
INC-079,AZ-ACCT-031,2026/02/10 05:25,2026/02/11 02:25,Compute,centralindia,SEV2,Auto-scaling misconfiguration,no
INC-080,AWS-ACCT-013,NULL,2026-0319 13:11,Compute,us-west-2,SEV3,Disk I/O saturation on storage cluster,YES
INC-081,AZ-ACCT-027,2026-03-28T15:08:00+00:00,30-03-2026 08:08:00,Compute,canadacentral,SEV2,Deployment rollback failure,no
INC-082,GCP-ACCT-045,2026-02-23 17:02:00,2026-0224 17:02,Compute,europe-west1,SEV2,Memory exhaustion from runaway process,false
INC-083,GCP-ACCT-037,2026-03-24T21:41:00-05:00,2026-03-25T23:41:00+00:00,Database,asia-southeast1,SEV3,Deployment rollback failure,FALSE
INC-084,AZ-ACCT-026,2026-03-01T21:37:00+05:30,2026-03-03T18:37:00+05:30,Compute,westeurope,SEV2,Kernel panic on hypervisor host,no
INC-085,AZ-ACCT-031,2026-02-14T15:06:00Z,,Compute,East us,SEV2,Disk I/O saturation on storage cluster,False
INC-086,GCP-ACCT-048,2026/02/01 16:11,2026-02-03T04:11:00-05:00,Database,EUROPE-WEST1,SEV3,Database connection pool exhaustion,No
INC-087,GCP-ACCT-040,26-01-2026 14:37:00,27-01-2026 18:37:00,Compute,asia southeast1,SEV3,Memory exhaustion from runaway process,False
INC-088,AZ-ACCT-030,2026/01/15 08:42,2026/01/16 16:42,Database,eastus,SEV2,Deployment rollback failure,No
INC-089,GCP-ACCT-046,2026-02-08T19:37:00+00:00,2026-02-09T01:37:00+00:00,Database,us-west1,SEV1,Deployment rollback failure,False
INC-090,AZ-ACCT-032,2026-03-23T17:44:00+00:00,2026-03-25T11:44:00-08:00,Storage,southEast asia,SEV2,Network partition in availability zone,False
INC-091,AZ-ACCT-025,2026-03-13T16:41:00Z,2026-03-15T00:41:00Z,Compute,eastus,SEV1,Certificate expiry on load balancer,False
INC-092,AZ-ACCT-035,06-02-2026 05:49:00,2026-02-07T11:49:00Z,Database,eastus2,SEV3,Auto-scaling misconfiguration,NO
INC-093,AWS-ACCT-003,2026-02-26 17:13:00,2026-02-27T21:13:00+05:30,Storage,ap-south-1,SEV1,Kernel panic on hypervisor host,true
INC-094,GCP-ACCT-050,2026-01-31T06:51:00Z,2026/02/02 06:51,Compute,asia southeast1,SEV1,DNS resolution failure,yes
INC-095,AZ-ACCT-023,2026-0310 08:38,2026/03/11 19:38,Database,East us,SEV2,Network partition in availability zone,YES
INC-096,GCP-ACCT-042,17-01-2026 22:55:00,18-01-2026 07:55:00,Database,us-west1,SEV3,Certificate expiry on load balancer,0
INC-097,AZ-ACCT-029,10-01-2026 20:50:00,2026-01-11 02:50:00,Storage,canadacentral,SEV1,Disk I/O saturation on storage cluster,0
INC-098,GCP-ACCT-041,2026-03-27T22:22:00Z,2026-03-28 03:22:00,Storage,asia-south1,SEV2,Auto-scaling misconfiguration,False
INC-099,GCP-ACCT-037,2099-12-31T23:59:59Z,2026-03-06 06:57:00,Compute,us-central1,SEV1,Kernel panic on hypervisor host,0
INC-100,AWS-ACCT-013,2026-03-30 04:56:00,2026-03-31T22:56:00-08:00,Storage,us-east-1,SEV3,Memory exhaustion from runaway process,No
