Ticket_ID,Account_ID,Created_At,Severity,Ticket_Text,Status,Resource_ID,Severity_Clean,Ticket_Text_Clean,Has_PII,Text_Changed
T-014,AZ-ACCT-032,28-02-2026 16:00:00,P3,Database az-vm-185 timeout. Engineer John Doe (sarah.johnson@company.com) investigating. Host: +1-555-987-6543. Alt contact: 10.0.0.55,in_progress,az-vm-185,SEV3,Database az-vm-185 timeout. Engineer [NAME] ([EMAIL]) investigating. Host: [PHONE]. Alt contact: [IP],True,True
T-015,GCP-ACCT-044,2026-01-15T07:00:00Z,1,Issue with resource gcp-inst-261. Service degraded. Investigating.,open,gcp-inst-261,SEV1,Issue with resource gcp-inst-261. Service degraded. Investigating.,False,False
T-016,AWS-ACCT-003,2026-03-12T22:00:00-08:00,SEV1,Database gcp-inst-215 timeout. Engineer Maria Garcia (priya.sharma@company.com) investigating. Host: +1-555-012-3456. Alt contact: 192.168.0.42,in_progress,gcp-inst-215,SEV1,Database gcp-inst-215 timeout. Engineer [NAME] ([EMAIL]) investigating. Host: [PHONE]. Alt contact: [IP],True,True
T-017,GCP-ACCT-044,07-01-2026 05:00:00,P1,Issue with resource az-vm-115. Service degraded. Investigating.,closed,az-vm-115,SEV1,Issue with resource az-vm-115. Service degraded. Investigating.,False,False
T-018,AWS-ACCT-006,2026-03-12T14:00:00-08:00,P2,Issue with resource aws-ec2-005. Service degraded. Investigating.,closed,aws-ec2-005,SEV2,Issue with resource aws-ec2-005. Service degraded. Investigating.,False,False
T-019,GCP-ACCT-050,2026-01-26T23:00:00+05:30,sev2,Instance gcp-inst-280 is unreachable. Contact Maria Garcia at raj.patel@company.com or call +91-9876543210. IP: 192.168.0.42,open,gcp-inst-280,SEV2,Instance gcp-inst-280 is unreachable. Contact [NAME] at [EMAIL] or call [PHONE]. IP: [IP],True,True
T-020,GCP-ACCT-049,2026-03-26T12:00:00+00:00,SEV3,Issue with resource az-vm-158. Service degraded. Investigating.,closed,az-vm-158,SEV3,Issue with resource az-vm-158. Service degraded. Investigating.,False,False
T-021,AWS-ACCT-006,2026-01-06T07:00:00-05:00,SEV1,Permission denied for gcp-inst-267. Ahmed Khan (priya.sharma@company.com) needs access. Node: +91-8765432109. Contact: 192.168.1.100,in_progress,gcp-inst-267,SEV1,Permission denied for gcp-inst-267. [NAME] ([EMAIL]) needs access. Node: [PHONE]. Contact: [IP],True,True
T-022,GCP-ACCT-037,08-01-2026 13:00:00,sev2,Issue with resource aws-ec2-067. Service degraded. Investigating.,closed,aws-ec2-067,SEV2,Issue with resource aws-ec2-067. Service degraded. Investigating.,False,False
T-023,AWS-ACCT-018,2026-01-30T02:00:00Z,SEV2,Instance aws-ec2-104 is unreachable. Contact Raj Patel at luis.rivera@company.com or call +91-9876543210. IP: 10.0.0.55,open,aws-ec2-104,SEV2,Instance aws-ec2-104 is unreachable. Contact [NAME] at [EMAIL] or call [PHONE]. IP: [IP],True,True
T-024,AZ-ACCT-035,2026/02/15 06:00,low,Instance gcp-inst-232 is unreachable. Contact Wei Chen at sarah.johnson@company.com or call +44-7911-123456. IP: 192.168.1.100,in_progress,gcp-inst-232,SEV3,Instance gcp-inst-232 is unreachable. Contact [NAME] at [EMAIL] or call [PHONE]. IP: [IP],True,True
T-025,GCP-ACCT-045,2099-12-31T23:59:59Z,P1,Issue with resource aws-ec2-111. Service degraded. Investigating.,closed,aws-ec2-111,SEV1,Issue with resource aws-ec2-111. Service degraded. Investigating.,False,False
T-026,AWS-ACCT-012,04-01-2026 12:00:00,SEV1,High CPU on gcp-inst-232. Yuki Tanaka (yuki.tanaka@company.com) filed this. Server: +1-555-012-3456. Callback: 192.168.1.100,open,gcp-inst-232,SEV1,High CPU on gcp-inst-232. [NAME] ([EMAIL]) filed this. Server: [PHONE]. Callback: [IP],True,True
T-027,AWS-ACCT-004,2026-01-29 04:00:00,sev1,Permission denied for aws-ec2-102. Ahmed Khan (priya.sharma@company.com) needs access. Node: +91-9876543210. Contact: 10.10.10.10,open,aws-ec2-102,SEV1,Permission denied for aws-ec2-102. [NAME] ([EMAIL]) needs access. Node: [PHONE]. Contact: [IP],True,True
T-028,AWS-ACCT-013,2026-0324 14:00,SEV2,High CPU on aws-ec2-066. Jane Smith (priya.sharma@company.com) filed this. Server: +91-9876543210. Callback: 192.168.1.100,in_progress,aws-ec2-066,SEV2,High CPU on aws-ec2-066. [NAME] ([EMAIL]) filed this. Server: [PHONE]. Callback: [IP],True,True
T-029,AZ-ACCT-026,2026-03-05T00:00:00Z,1,Storage latency on az-vm-196. Reported by Ahmed Khan (raj.patel@company.com). System IP: +44-7911-123456. Phone: 10.0.0.55,open,az-vm-196,SEV1,Storage latency on az-vm-196. Reported by [NAME] ([EMAIL]). System IP: [PHONE]. Phone: [IP],True,True
T-030,GCP-ACCT-040,2026-03-21T19:00:00+00:00,SEV2,High CPU on az-vm-126. Wei Chen (sarah.johnson@company.com) filed this. Server: +91-8765432109. Callback: 10.10.10.10,open,az-vm-126,SEV2,High CPU on az-vm-126. [NAME] ([EMAIL]) filed this. Server: [PHONE]. Callback: [IP],True,True
T-031,GCP-ACCT-042,2026-03-09T07:00:00+01:00,medium,Issue with resource gcp-inst-279. Service degraded. Investigating.,closed,gcp-inst-279,SEV2,Issue with resource gcp-inst-279. Service degraded. Investigating.,False,False
T-032,AZ-ACCT-025,2026-0204 05:00,medium,Database aws-ec2-014 timeout. Engineer Priya Sharma (luis.rivera@company.com) investigating. Host: +1-555-012-3456. Alt contact: 192.168.1.100,closed,aws-ec2-014,SEV2,Database aws-ec2-014 timeout. Engineer [NAME] ([EMAIL]) investigating. Host: [PHONE]. Alt contact: [IP],True,True
T-033,GCP-ACCT-050,2026-0316 07:00,sev1,Issue with resource aws-ec2-082. Service degraded. Investigating.,open,aws-ec2-082,SEV1,Issue with resource aws-ec2-082. Service degraded. Investigating.,False,False
T-034,GCP-ACCT-037,,SEV3,Issue with resource aws-ec2-089. Service degraded. Investigating.,closed,aws-ec2-089,SEV3,Issue with resource aws-ec2-089. Service degraded. Investigating.,False,False
T-035,GCP-ACCT-037,2026-03-14T04:00:00+01:00,high,High CPU on aws-ec2-097. Sarah Johnson (yuki.tanaka@company.com) filed this. Server: +44-7911-123456. Callback: 10.0.0.55,open,aws-ec2-097,SEV1,High CPU on aws-ec2-097. [NAME] ([EMAIL]) filed this. Server: [PHONE]. Callback: [IP],True,True
T-036,AZ-ACCT-034,2026-03-03 00:00:00,sev2,Issue with resource az-vm-170. Service degraded. Investigating.,open,az-vm-170,SEV2,Issue with resource az-vm-170. Service degraded. Investigating.,False,False
T-037,AWS-ACCT-002,2026/01/19 18:00,P2,Issue with resource aws-ec2-073. Service degraded. Investigating.,open,aws-ec2-073,SEV2,Issue with resource aws-ec2-073. Service degraded. Investigating.,False,False
T-038,AZ-ACCT-022,2026/02/08 10:00,P3,Issue with resource aws-ec2-070. Service degraded. Investigating.,in_progress,aws-ec2-070,SEV3,Issue with resource aws-ec2-070. Service degraded. Investigating.,False,False
T-039,AZ-ACCT-023,2026-0129 21:00,P2,Issue with resource aws-ec2-090. Service degraded. Investigating.,closed,aws-ec2-090,SEV2,Issue with resource aws-ec2-090. Service degraded. Investigating.,False,False
T-040,GCP-ACCT-050,2026-03-14T01:00:00Z,sev2,Permission denied for aws-ec2-094. Luis Rivera (priya.sharma@company.com) needs access. Node: +1-555-987-6543. Contact: 10.0.0.55,in_progress,aws-ec2-094,SEV2,Permission denied for aws-ec2-094. [NAME] ([EMAIL]) needs access. Node: [PHONE]. Contact: [IP],True,True
T-041,AWS-ACCT-005,2026-01-31T11:00:00+05:30,sev2,Instance az-vm-164 is unreachable. Contact Raj Patel at jane.smith@company.com or call +44-7911-123456. IP: 192.168.0.42,closed,az-vm-164,SEV2,Instance az-vm-164 is unreachable. Contact [NAME] at [EMAIL] or call [PHONE]. IP: [IP],True,True
T-042,AWS-ACCT-007,2026-01-01T01:00:00Z,SEV2,Issue with resource az-vm-198. Service degraded. Investigating.,open,az-vm-198,SEV2,Issue with resource az-vm-198. Service degraded. Investigating.,False,False
T-043,AZ-ACCT-031,2026-03-15T20:00:00+05:30,SEV1,Database az-vm-116 timeout. Engineer Raj Patel (sarah.johnson@company.com) investigating. Host: +91-9876543210. Alt contact: 192.168.1.100,closed,az-vm-116,SEV1,Database az-vm-116 timeout. Engineer [NAME] ([EMAIL]) investigating. Host: [PHONE]. Alt contact: [IP],True,True
T-044,AWS-ACCT-011,18-02-2026 05:00:00,SEV2,Issue with resource aws-ec2-039. Service degraded. Investigating.,in_progress,aws-ec2-039,SEV2,Issue with resource aws-ec2-039. Service degraded. Investigating.,False,False
T-045,AWS-ACCT-011,2026/03/19 13:00,P3,Issue with resource aws-ec2-081. Service degraded. Investigating.,in_progress,aws-ec2-081,SEV3,Issue with resource aws-ec2-081. Service degraded. Investigating.,False,False
T-046,AZ-ACCT-035,2026-02-03 21:00:00,1,Issue with resource az-vm-145. Service degraded. Investigating.,open,az-vm-145,SEV1,Issue with resource az-vm-145. Service degraded. Investigating.,False,False
T-047,AZ-ACCT-024,2026-01-01T13:00:00-08:00,SEV1,Instance aws-ec2-045 is unreachable. Contact Wei Chen at luis.rivera@company.com or call +91-8765432109. IP: 10.0.0.55,closed,aws-ec2-045,SEV1,Instance aws-ec2-045 is unreachable. Contact [NAME] at [EMAIL] or call [PHONE]. IP: [IP],True,True
T-048,AWS-ACCT-008,2026-02-09 12:00:00,sev2,High CPU on gcp-inst-242. Sarah Johnson (wei.chen@company.com) filed this. Server: +91-9876543210. Callback: 10.10.10.10,open,gcp-inst-242,SEV2,High CPU on gcp-inst-242. [NAME] ([EMAIL]) filed this. Server: [PHONE]. Callback: [IP],True,True
T-049,AZ-ACCT-029,06-01-2026 08:00:00,sev3,Permission denied for gcp-inst-226. Sarah Johnson (wei.chen@company.com) needs access. Node: +1-555-012-3456. Contact: 172.16.0.1,open,gcp-inst-226,SEV3,Permission denied for gcp-inst-226. [NAME] ([EMAIL]) needs access. Node: [PHONE]. Contact: [IP],True,True
T-050,AWS-ACCT-006,2026-03-27 11:00:00,SEV2,Issue with resource gcp-inst-278. Service degraded. Investigating.,in_progress,gcp-inst-278,SEV2,Issue with resource gcp-inst-278. Service degraded. Investigating.,False,False
T-051,GCP-ACCT-044,2026-0302 18:00,3,Issue with resource az-vm-121. Service degraded. Investigating.,in_progress,az-vm-121,SEV3,Issue with resource az-vm-121. Service degraded. Investigating.,False,False
T-052,GCP-ACCT-044,2026-03-21T04:00:00Z,sev3,Storage latency on aws-ec2-062. Reported by Sarah Johnson (raj.patel@company.com). System IP: +1-555-012-3456. Phone: 10.0.0.55,closed,aws-ec2-062,SEV3,Storage latency on aws-ec2-062. Reported by [NAME] ([EMAIL]). System IP: [PHONE]. Phone: [IP],True,True
T-053,AWS-ACCT-013,2026-03-22T04:00:00-08:00,medium,Issue with resource az-vm-133. Service degraded. Investigating.,closed,az-vm-133,SEV2,Issue with resource az-vm-133. Service degraded. Investigating.,False,False
T-054,AWS-ACCT-001,2026/03/31 19:00,SEV1,Issue with resource gcp-inst-268. Service degraded. Investigating.,open,gcp-inst-268,SEV1,Issue with resource gcp-inst-268. Service degraded. Investigating.,False,False
T-055,GCP-ACCT-037,2026-01-13T09:00:00Z,1,Issue with resource gcp-inst-275. Service degraded. Investigating.,closed,gcp-inst-275,SEV1,Issue with resource gcp-inst-275. Service degraded. Investigating.,False,False
T-056,AZ-ACCT-026,2026-0119 19:00,P3,Issue with resource gcp-inst-206. Service degraded. Investigating.,closed,gcp-inst-206,SEV3,Issue with resource gcp-inst-206. Service degraded. Investigating.,False,False
T-057,AWS-ACCT-002,13-02-2026 09:00:00,3,Issue with resource az-vm-160. Service degraded. Investigating.,closed,az-vm-160,SEV3,Issue with resource az-vm-160. Service degraded. Investigating.,False,False
T-058,AWS-ACCT-018,2026-02-23 19:00:00,low,Issue with resource aws-ec2-046. Service degraded. Investigating.,open,aws-ec2-046,SEV3,Issue with resource aws-ec2-046. Service degraded. Investigating.,False,False
T-059,AZ-ACCT-033,2026-01-21T02:00:00+00:00,low,Permission denied for az-vm-160. Yuki Tanaka (ahmed.khan@company.com) needs access. Node: +1-555-012-3456. Contact: 10.10.10.10,open,az-vm-160,SEV3,Permission denied for az-vm-160. [NAME] ([EMAIL]) needs access. Node: [PHONE]. Contact: [IP],True,True
T-060,AWS-ACCT-016,2026/01/05 14:00,SEV1,Issue with resource aws-ec2-026. Service degraded. Investigating.,in_progress,aws-ec2-026,SEV1,Issue with resource aws-ec2-026. Service degraded. Investigating.,False,False
T-061,AWS-ACCT-002,2026-01-31T11:00:00-08:00,SEV3,Issue with resource gcp-inst-251. Service degraded. Investigating.,in_progress,gcp-inst-251,SEV3,Issue with resource gcp-inst-251. Service degraded. Investigating.,False,False
T-062,AWS-ACCT-006,2026/02/06 00:00,P1,Issue with resource az-vm-198. Service degraded. Investigating.,in_progress,az-vm-198,SEV1,Issue with resource az-vm-198. Service degraded. Investigating.,False,False
T-063,AZ-ACCT-027,2026/03/07 00:00,P1,Instance aws-ec2-005 is unreachable. Contact Sarah Johnson at raj.patel@company.com or call +1-555-012-3456. IP: 10.10.10.10,in_progress,aws-ec2-005,SEV1,Instance aws-ec2-005 is unreachable. Contact [NAME] at [EMAIL] or call [PHONE]. IP: [IP],True,True
T-064,GCP-ACCT-046,2026/03/24 08:00,low,Issue with resource gcp-inst-217. Service degraded. Investigating.,in_progress,gcp-inst-217,SEV3,Issue with resource gcp-inst-217. Service degraded. Investigating.,False,False
T-065,AZ-ACCT-026,2026/03/16 03:00,2,Permission denied for aws-ec2-004. Yuki Tanaka (priya.sharma@company.com) needs access. Node: +1-555-987-6543. Contact: 10.10.10.10,open,aws-ec2-004,SEV2,Permission denied for aws-ec2-004. [NAME] ([EMAIL]) needs access. Node: [PHONE]. Contact: [IP],True,True
T-066,AZ-ACCT-022,2026-02-05T20:00:00+05:30,3,Issue with resource az-vm-167. Service degraded. Investigating.,in_progress,az-vm-167,SEV3,Issue with resource az-vm-167. Service degraded. Investigating.,False,False
T-067,AZ-ACCT-026,26-03-2026 10:00:00,P2,Issue with resource aws-ec2-072. Service degraded. Investigating.,in_progress,aws-ec2-072,SEV2,Issue with resource aws-ec2-072. Service degraded. Investigating.,False,False
T-068,GCP-ACCT-037,2026-01-25 10:00:00,P3,Issue with resource az-vm-114. Service degraded. Investigating.,in_progress,az-vm-114,SEV3,Issue with resource az-vm-114. Service degraded. Investigating.,False,False
T-069,AWS-ACCT-012,2026-02-07T03:00:00+00:00,SEV3,Issue with resource gcp-inst-242. Service degraded. Investigating.,closed,gcp-inst-242,SEV3,Issue with resource gcp-inst-242. Service degraded. Investigating.,False,False
T-070,AZ-ACCT-027,2026/02/12 11:00,P2,High CPU on az-vm-134. Luis Rivera (wei.chen@company.com) filed this. Server: +91-8765432109. Callback: 192.168.1.100,in_progress,az-vm-134,SEV2,High CPU on az-vm-134. [NAME] ([EMAIL]) filed this. Server: [PHONE]. Callback: [IP],True,True
T-071,AWS-ACCT-005,2026-03-02 06:00:00,1,High CPU on gcp-inst-257. Jane Smith (ahmed.khan@company.com) filed this. Server: +1-555-987-6543. Callback: 172.16.0.1,open,gcp-inst-257,SEV1,High CPU on gcp-inst-257. [NAME] ([EMAIL]) filed this. Server: [PHONE]. Callback: [IP],True,True
T-072,AZ-ACCT-022,2026-0222 18:00,sev2,Issue with resource gcp-inst-235. Service degraded. Investigating.,in_progress,gcp-inst-235,SEV2,Issue with resource gcp-inst-235. Service degraded. Investigating.,False,False
T-073,AWS-ACCT-004,01-01-2026 14:00:00,1,Issue with resource az-vm-141. Service degraded. Investigating.,in_progress,az-vm-141,SEV1,Issue with resource az-vm-141. Service degraded. Investigating.,False,False
T-074,AZ-ACCT-028,23-03-2026 13:00:00,sev1,Issue with resource gcp-inst-207. Service degraded. Investigating.,closed,gcp-inst-207,SEV1,Issue with resource gcp-inst-207. Service degraded. Investigating.,False,False
T-075,GCP-ACCT-049,2026-03-09T06:00:00Z,P2,Database aws-ec2-010 timeout. Engineer John Doe (maria.garcia@company.com) investigating. Host: +1-555-012-3456. Alt contact: 172.16.0.1,closed,aws-ec2-010,SEV2,Database aws-ec2-010 timeout. Engineer [NAME] ([EMAIL]) investigating. Host: [PHONE]. Alt contact: [IP],True,True
T-076,AWS-ACCT-011,2026-01-09 01:00:00,1,Issue with resource az-vm-153. Service degraded. Investigating.,closed,az-vm-153,SEV1,Issue with resource az-vm-153. Service degraded. Investigating.,False,False
T-077,AZ-ACCT-032,,medium,Storage latency on aws-ec2-085. Reported by Ahmed Khan (john.doe@company.com). System IP: +1-555-012-3456. Phone: 10.0.0.55,open,aws-ec2-085,SEV2,Storage latency on aws-ec2-085. Reported by [NAME] ([EMAIL]). System IP: [PHONE]. Phone: [IP],True,True
T-078,AWS-ACCT-008,2099-12-31T23:59:59Z,SEV1,Issue with resource aws-ec2-020. Service degraded. Investigating.,in_progress,aws-ec2-020,SEV1,Issue with resource aws-ec2-020. Service degraded. Investigating.,False,False
T-079,AWS-ACCT-002,07-01-2026 22:00:00,high,Permission denied for aws-ec2-060. Ahmed Khan (sarah.johnson@company.com) needs access. Node: +91-8765432109. Contact: 192.168.1.100,in_progress,aws-ec2-060,SEV1,Permission denied for aws-ec2-060. [NAME] ([EMAIL]) needs access. Node: [PHONE]. Contact: [IP],True,True
T-080,GCP-ACCT-044,2026-03-22T00:00:00+05:30,medium,Issue with resource az-vm-155. Service degraded. Investigating.,in_progress,az-vm-155,SEV2,Issue with resource az-vm-155. Service degraded. Investigating.,False,False
T-081,GCP-ACCT-040,2026-01-16 09:00:00,high,Issue with resource aws-ec2-059. Service degraded. Investigating.,closed,aws-ec2-059,SEV1,Issue with resource aws-ec2-059. Service degraded. Investigating.,False,False
T-082,GCP-ACCT-046,,sev3,Issue with resource aws-ec2-083. Service degraded. Investigating.,open,aws-ec2-083,SEV3,Issue with resource aws-ec2-083. Service degraded. Investigating.,False,False
T-083,AWS-ACCT-008,2026/03/15 21:00,2,Issue with resource gcp-inst-253. Service degraded. Investigating.,closed,gcp-inst-253,SEV2,Issue with resource gcp-inst-253. Service degraded. Investigating.,False,False
T-084,AWS-ACCT-017,2026-03-01T01:00:00+05:30,sev1,Issue with resource aws-ec2-052. Service degraded. Investigating.,open,aws-ec2-052,SEV1,Issue with resource aws-ec2-052. Service degraded. Investigating.,False,False
T-085,GCP-ACCT-043,2026-03-24T05:00:00+05:30,SEV2,Issue with resource az-vm-169. Service degraded. Investigating.,closed,az-vm-169,SEV2,Issue with resource az-vm-169. Service degraded. Investigating.,False,False
T-086,AZ-ACCT-030,2026-02-04 12:00:00,SEV1,Issue with resource gcp-inst-245. Service degraded. Investigating.,closed,gcp-inst-245,SEV1,Issue with resource gcp-inst-245. Service degraded. Investigating.,False,False
T-087,GCP-ACCT-038,2026/03/03 18:00,low,Permission denied for gcp-inst-225. Raj Patel (luis.rivera@company.com) needs access. Node: +91-8765432109. Contact: 172.16.0.1,in_progress,gcp-inst-225,SEV3,Permission denied for gcp-inst-225. [NAME] ([EMAIL]) needs access. Node: [PHONE]. Contact: [IP],True,True
T-088,AWS-ACCT-009,,low,Issue with resource aws-ec2-058. Service degraded. Investigating.,in_progress,aws-ec2-058,SEV3,Issue with resource aws-ec2-058. Service degraded. Investigating.,False,False
T-089,AZ-ACCT-034,15-03-2026 23:00:00,2,Issue with resource az-vm-115. Service degraded. Investigating.,closed,az-vm-115,SEV2,Issue with resource az-vm-115. Service degraded. Investigating.,False,False
T-090,GCP-ACCT-043,2026-03-28T20:00:00-05:00,low,Issue with resource az-vm-198. Service degraded. Investigating.,closed,az-vm-198,SEV3,Issue with resource az-vm-198. Service degraded. Investigating.,False,False
T-091,AWS-ACCT-011,2026/01/10 15:00,SEV2,Permission denied for az-vm-165. Maria Garcia (priya.sharma@company.com) needs access. Node: +44-7911-123456. Contact: 192.168.1.100,open,az-vm-165,SEV2,Permission denied for az-vm-165. [NAME] ([EMAIL]) needs access. Node: [PHONE]. Contact: [IP],True,True
T-092,AWS-ACCT-006,28-02-2026 14:00:00,sev1,Issue with resource gcp-inst-230. Service degraded. Investigating.,open,gcp-inst-230,SEV1,Issue with resource gcp-inst-230. Service degraded. Investigating.,False,False
T-093,AZ-ACCT-026,2026-02-22 01:00:00,medium,Issue with resource gcp-inst-286. Service degraded. Investigating.,open,gcp-inst-286,SEV2,Issue with resource gcp-inst-286. Service degraded. Investigating.,False,False
T-094,GCP-ACCT-042,2026/03/27 14:00,2,Issue with resource az-vm-175. Service degraded. Investigating.,in_progress,az-vm-175,SEV2,Issue with resource az-vm-175. Service degraded. Investigating.,False,False
T-095,GCP-ACCT-043,2026/02/16 22:00,3,Issue with resource gcp-inst-232. Service degraded. Investigating.,closed,gcp-inst-232,SEV3,Issue with resource gcp-inst-232. Service degraded. Investigating.,False,False
T-096,GCP-ACCT-036,2026/03/08 11:00,high,High CPU on aws-ec2-055. John Doe (raj.patel@company.com) filed this. Server: +91-8765432109. Callback: 10.0.0.55,open,aws-ec2-055,SEV1,High CPU on aws-ec2-055. [NAME] ([EMAIL]) filed this. Server: [PHONE]. Callback: [IP],True,True
T-097,AZ-ACCT-026,2026-01-28 14:00:00,2,Permission denied for aws-ec2-098. Priya Sharma (jane.smith@company.com) needs access. Node: +91-8765432109. Contact: 192.168.1.100,in_progress,aws-ec2-098,SEV2,Permission denied for aws-ec2-098. [NAME] ([EMAIL]) needs access. Node: [PHONE]. Contact: [IP],True,True
T-098,GCP-ACCT-038,2026-03-06T04:00:00Z,medium,Issue with resource gcp-inst-256. Service degraded. Investigating.,open,gcp-inst-256,SEV2,Issue with resource gcp-inst-256. Service degraded. Investigating.,False,False
T-099,GCP-ACCT-045,2026-03-16T05:00:00Z,P2,Issue with resource aws-ec2-066. Service degraded. Investigating.,in_progress,aws-ec2-066,SEV2,Issue with resource aws-ec2-066. Service degraded. Investigating.,False,False
T-100,GCP-ACCT-049,01-02-2026 08:00:00,SEV3,Issue with resource az-vm-204. Service degraded. Investigating.,in_progress,az-vm-204,SEV3,Issue with resource az-vm-204. Service degraded. Investigating.,False,False
T-101,AWS-ACCT-020,2026/03/31 17:00,P3,Issue with resource az-vm-161. Service degraded. Investigating.,in_progress,az-vm-161,SEV3,Issue with resource az-vm-161. Service degraded. Investigating.,False,False
T-102,AWS-ACCT-009,2026/03/25 05:00,sev3,Issue with resource gcp-inst-258. Service degraded. Investigating.,in_progress,gcp-inst-258,SEV3,Issue with resource gcp-inst-258. Service degraded. Investigating.,False,False
T-103,AZ-ACCT-027,2026-03-28T23:00:00+05:30,high,Instance gcp-inst-274 is unreachable. Contact Wei Chen at ahmed.khan@company.com or call +91-9876543210. IP: 10.10.10.10,closed,gcp-inst-274,SEV1,Instance gcp-inst-274 is unreachable. Contact [NAME] at [EMAIL] or call [PHONE]. IP: [IP],True,True
T-104,GCP-ACCT-049,2026-01-21 09:00:00,SEV1,Permission denied for az-vm-129. Raj Patel (john.doe@company.com) needs access. Node: +44-7911-123456. Contact: 10.0.0.55,in_progress,az-vm-129,SEV1,Permission denied for az-vm-129. [NAME] ([EMAIL]) needs access. Node: [PHONE]. Contact: [IP],True,True
T-105,GCP-ACCT-044,2026-0313 07:00,sev3,Issue with resource az-vm-200. Service degraded. Investigating.,closed,az-vm-200,SEV3,Issue with resource az-vm-200. Service degraded. Investigating.,False,False
T-106,GCP-ACCT-036,2026-01-07T00:00:00Z,P2,Issue with resource az-vm-129. Service degraded. Investigating.,open,az-vm-129,SEV2,Issue with resource az-vm-129. Service degraded. Investigating.,False,False
T-107,GCP-ACCT-050,1970-01-01T00:00:00Z,P1,Permission denied for gcp-inst-230. Raj Patel (jane.smith@company.com) needs access. Node: +1-555-012-3456. Contact: 10.0.0.55,in_progress,gcp-inst-230,SEV1,Permission denied for gcp-inst-230. [NAME] ([EMAIL]) needs access. Node: [PHONE]. Contact: [IP],True,True
T-108,AWS-ACCT-017,2026-01-17T05:00:00+05:30,3,Instance az-vm-131 is unreachable. Contact John Doe at priya.sharma@company.com or call +91-8765432109. IP: 10.0.0.55,in_progress,az-vm-131,SEV3,Instance az-vm-131 is unreachable. Contact [NAME] at [EMAIL] or call [PHONE]. IP: [IP],True,True
T-109,GCP-ACCT-040,2026-0326 09:00,medium,Issue with resource gcp-inst-252. Service degraded. Investigating.,open,gcp-inst-252,SEV2,Issue with resource gcp-inst-252. Service degraded. Investigating.,False,False
